,names,dob,positon,month,year
18,Gabriel Albín ,"<td class=""zentriert"">14/04/1999 (23)</td>",<tr><td>Interior derecho</td></tr>,04,99
19,Denis Olivera ,"<td class=""zentriert"">29/07/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,07,99
20,Maximiliano Rodríguez ,"<td class=""zentriert"">06/06/1999 (23)</td>",<tr><td>Mediocentro</td></tr>,06,99
21,Emiliano Villar ,"<td class=""zentriert"">21/10/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,10,99
22,Agustín Dávila ,"<td class=""zentriert"">05/01/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,01,99
23,Facundo Vigo ,"<td class=""zentriert"">22/05/1999 (23)</td>",<tr><td>Mediocentro ofensivo</td></tr>,05,99
24,Brian González ,"<td class=""zentriert"">11/06/1999 (23)</td>",<tr><td>Extremo derecho</td></tr>,06,99
0,Francisco Martirena ,"<td class=""zentriert"">09/06/1999 (23)</td>",<tr><td>Defensa central</td></tr>,06,99
1,Emanuel Carlos ,"<td class=""zentriert"">21/02/1999 (23)</td>",<tr><td>Lateral derecho</td></tr>,02,99
2,Ezequiel Escobar ,"<td class=""zentriert"">04/04/1999 (23)</td>",<tr><td>Interior derecho</td></tr>,04,99
3,Matias Dufour ,"<td class=""zentriert"">24/02/1999 (23)</td>",<tr><td>Portero</td></tr>,02,99
4,Kevin Lewis ,"<td class=""zentriert"">08/01/1999 (23)</td>",<tr><td>Interior izquierdo</td></tr>,01,99
5,Facundo Perdomo ,"<td class=""zentriert"">21/08/1999 (23)</td>",<tr><td>Lateral derecho</td></tr>,08,99
6,Mathías Pintos ,"<td class=""zentriert"">26/12/1999 (22)</td>",<tr><td>Lateral izquierdo</td></tr>,12,99
7,Juan Viacava ,"<td class=""zentriert"">20/02/1999 (23)</td>",<tr><td>Mediocentro</td></tr>,02,99
8,Bryan Osores ,"<td class=""zentriert"">25/05/1999 (23)</td>",<tr><td>Mediapunta</td></tr>,05,99
9,Diego Sánchez ,"<td class=""zentriert"">30/07/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,07,99
10,Lucas Rodríguez ,"<td class=""zentriert"">15/01/1999 (23)</td>",<tr><td>Defensa central</td></tr>,01,99
11,Gianfranco Trasante ,"<td class=""zentriert"">14/09/1999 (23)</td>",<tr><td>Lateral derecho</td></tr>,09,99
12,Airton Albarenga ,"<td class=""zentriert"">18/06/1999 (23)</td>",<tr><td>Lateral izquierdo</td></tr>,06,99
13,Ernesto da Rosa ,"<td class=""zentriert"">25/04/1999 (23)</td>",<tr><td>Extremo izquierdo</td></tr>,04,99
14,Diego López ,"<td class=""zentriert"">06/04/1999 (23)</td>",<tr><td>Defensa central</td></tr>,04,99
